province,id
An Giang,1
Bà Rịa - Vũng Tàu,2
Bình Dương,9
Bình Phước,10
Bình Thuận,11
Bình Định,8
Bạc Liêu,5
Bắc Giang,3
Bắc Kạn,4
Bắc Ninh,6
Bến Tre,7
Cao Bằng,14
Cà Mau,12
Cần Thơ,13
Gia Lai,21
Hà Giang,22
Hà Nam,23
Hà Nội,24
Hà Tĩnh,25
Hòa Bình,30
Hưng Yên,31
Hải Dương,26
Hải Phòng,27
Hậu Giang,28
Khánh Hòa,32
Kiên Giang,33
Kon Tum,34
Lai Châu,35
Long An,39
Lào Cai,38
Lâm Đồng,36
Lạng Sơn,37
Nam Định,40
Nghệ An,41
Ninh Bình,42
Ninh Thuận,43
Phú Thọ,44
Phú Yên,45
Quảng Bình,46
Quảng Nam,47
Quảng Ngãi,48
Quảng Ninh,49
Quảng Trị,50
Sóc Trăng,51
Sơn La,52
TP. Hồ Chí Minh,29
Thanh Hóa,56
Thái Bình,54
Thái Nguyên,55
Thừa Thiên Huế,57
Tiền Giang,58
Trà Vinh,59
Tuyên Quang,60
Tây Ninh,53
Vĩnh Long,61
Vĩnh Phúc,62
Yên Bái,63
Điện Biên,18
Đà Nẵng,15
Đắk Lắk,16
Đắk Nông,17
Đồng Nai,19
Đồng Tháp,20
